fullName,language,stargazersCount,createdAt,pushedAt,url,description,description_zh
adammatthewsteinberger/vibey-skills,Python,1,2026-08-11 08:14:07,2026-08-28 10:49:14,https://github.com/adammatthewsteinberger/vibey-skills,Agent Skills for vibe engineering — 644 evidence-grounded practitioner references as a Claude Code plugin marketplace,氛围工程的代理技能 — 作为 Claude Code 插件市场的 644 个基于证据的从业者参考
JuneYaooo/awesome-medical-ai,,18,2026-03-22 21:10:23,2026-08-28 10:39:09,https://github.com/JuneYaooo/awesome-medical-ai,"A curated list of open-source medical and healthcare AI projects - LLMs, imaging, multi-agent systems, clinical software",开源医疗和保健人工智能项目精选列表 - 法学硕士、成像、多代理系统、临床软件
enhansome/enhansome-conformal-prediction,,0,2026-08-12 14:47:49,2026-08-28 09:29:14,https://github.com/enhansome/enhansome-conformal-prediction,,
zachysun/DailyArXiv,Python,7,2024-05-26 21:37:57,2026-08-28 08:50:54,https://github.com/zachysun/DailyArXiv,Get arXiv papers everyday (Add Cool Paper for AI summary),每天获取 arXiv 论文（为 AI 摘要添加 Cool Paper）
enhansome/enhansome-Apache-Kafka-Guide,,0,2026-08-12 18:12:41,2026-08-28 08:34:04,https://github.com/enhansome/enhansome-Apache-Kafka-Guide,,
enhansome/enhansome-bio-agent-skills,,0,2026-08-12 17:21:21,2026-08-28 06:46:11,https://github.com/enhansome/enhansome-bio-agent-skills,,
NY1024/AgentSafety-Papers,Python,6,2026-07-02 18:29:32,2026-08-28 05:36:55,https://github.com/NY1024/AgentSafety-Papers,Daily Tracking of LLM Agent Security Papers on arXiv,arXiv 上 LLM 代理安全论文的每日跟踪
enhansome/enhansome-Awesome-FL,,0,2026-08-12 14:10:23,2026-08-28 05:02:44,https://github.com/enhansome/enhansome-Awesome-FL,,
enhansome/enhansome-drug-discovery,,0,2026-08-12 17:22:17,2026-08-28 03:15:27,https://github.com/enhansome/enhansome-drug-discovery,,
FengxianJi/The-Library-of-AI-Scientist,Python,16,2026-02-07 18:57:18,2026-08-28 02:27:30,https://github.com/FengxianJi/The-Library-of-AI-Scientist,"Over the next month, we will implement the comprehensive paper retrieval and organization system to make this AI-Scientist agent project more concrete.",下个月，我们将实施全面的论文检索和组织系统，使这个AI-Scientist代理项目更加具体。
enhansome/enhansome-Parallel-Computing-Guide,,0,2026-08-12 18:15:16,2026-08-28 02:25:13,https://github.com/enhansome/enhansome-Parallel-Computing-Guide,,
enhansome/enhansome-computational-biology,,0,2026-08-12 17:15:25,2026-08-28 02:17:15,https://github.com/enhansome/enhansome-computational-biology,,
enhansome/enhansome-Awesome-VAEs,,0,2026-08-12 15:14:59,2026-08-28 02:15:22,https://github.com/enhansome/enhansome-Awesome-VAEs,,
cirosantilli/cirosantilli.github.io-md,JavaScript,0,2026-08-27 15:25:58,2026-08-28 01:35:50,https://github.com/cirosantilli/cirosantilli.github.io-md,Automatically generated markdown rendering of https://github.com/cirosantilli/cirosantilli.github.io for fun and SEO. Canonical render at: https://cirosantilli.com,自动生成 https://github.com/cirosantilli/cirosantilli.github.io 的 Markdown 渲染，以实现乐趣和 SEO。规范渲染：https://cirosantilli.com
mdbabumiamssm/AI-Agentic-Skills-by-Dr.-Mia,Jupyter Notebook,6,2026-02-15 11:07:33,2026-08-28 01:29:53,https://github.com/mdbabumiamssm/AI-Agentic-Skills-by-Dr.-Mia,,
iopwsy/arXiv_cond-mat,Python,3,2025-05-01 21:38:05,2026-08-28 00:26:55,https://github.com/iopwsy/arXiv_cond-mat,利用GitHub Action 与LLM自动更新arXiv凝聚态物理相关论文,Use GitHub Action and LLM to automatically update arXiv condensed matter physics related papers
enhansome/enhansome-biology,,0,2026-08-12 16:01:24,2026-08-28 00:25:54,https://github.com/enhansome/enhansome-biology,,
enhansome/enhansome-structural-bioinformatics,,0,2026-08-12 18:01:52,2026-08-27 23:07:30,https://github.com/enhansome/enhansome-structural-bioinformatics,,
enhansome/enhansome-single-cell,,0,2026-08-12 13:24:16,2026-08-27 20:05:06,https://github.com/enhansome/enhansome-single-cell,,
