fullName,language,stargazersCount,createdAt,pushedAt,url,description,description_zh
DerekDLP/arxivpaper-daily,Python,0,2025-09-24 12:29:20,2026-09-14 08:00:05,https://github.com/DerekDLP/arxivpaper-daily,,
awictor/symplectic-nbody,Python,0,2026-09-10 08:44:08,2026-09-14 07:52:50,https://github.com/awictor/symplectic-nbody,Dependency-free pure-Python N-body simulator that makes symplectic energy conservation observable and testable,无依赖的纯 Python N 体模拟器，使辛能量守恒可观察和可测试
ryancahildebrandt/awesome_slop,Go Template,0,2025-07-25 08:34:28,2026-09-14 04:44:54,https://github.com/ryancahildebrandt/awesome_slop,LLM reading list,法学硕士阅读清单
MaybeBio/Daily-ArXiv-AI4Bio,Python,0,2026-09-01 10:21:00,2026-09-14 01:23:19,https://github.com/MaybeBio/Daily-ArXiv-AI4Bio,,
InsomaniacElf/sg-tamil-tts-resources-,,1,2026-05-26 11:12:53,2026-09-14 00:39:08,https://github.com/InsomaniacElf/sg-tamil-tts-resources-,"A curated, searchable list of datasets, models, research papers, and tools for building Text‑to‑Speech systems for Singapore Tamil and related low‑resource varieties.",用于为新加坡泰米尔语和相关低资源品种构建文本转语音系统的数据集、模型、研究论文和工具的精选、可搜索列表。
mahesh27dx/mahesh27dx.github.io,HTML,0,2023-03-05 07:47:25,2026-09-13 22:29:30,https://github.com/mahesh27dx/mahesh27dx.github.io,,
Abubakar-Saeed/BioGraphX-Sol,Python,0,2026-09-12 19:32:10,2026-09-13 20:38:37,https://github.com/Abubakar-Saeed/BioGraphX-Sol,"BioGraphX-Sol Interpretable physicochemical graph encoding for protein solubility prediction, 200 per-protein biophysical features combined with ESM-2 embeddings via a post-hoc weighted ensemble. Encoding, training, and inference code for the BioGraphX-Sol paper.",BioGraphX-Sol 可解释的物理化学图编码，用于蛋白质溶解度预测，每个蛋白质 200 个生物物理特征通过事后加权集成与 ESM-2 嵌入相结合。 BioGraphX-Sol 论文的编码、训练和推理代码。
AIML-SIG/awesome-ai-ml-pharmacometrics,Jupyter Notebook,10,2026-01-10 16:48:10,2026-09-13 18:02:42,https://github.com/AIML-SIG/awesome-ai-ml-pharmacometrics,,
guozhihuan01-hash/embodied-nav-papers,Python,2,2025-12-21 17:34:45,2026-09-13 17:17:06,https://github.com/guozhihuan01-hash/embodied-nav-papers,Auto-updated list of embodied navigation papers from arXiv (2024–Now),自动更新的 arXiv 体现导航论文列表（2024 年至今）
ai4s-research/awesome-ai-for-science,,1955,2025-10-04 17:32:39,2026-09-13 15:51:48,https://github.com/ai4s-research/awesome-ai-for-science,"A curated list of awesome AI tools, libraries, papers, datasets, and frameworks that accelerate scientific discovery — from physics and chemistry to biology, materials, and beyond.",精选的人工智能工具、库、论文、数据集和框架列表，可加速科学发现——从物理和化学到生物学、材料等。
Sohamnaik/Sohamnaik,,0,2022-12-07 16:57:08,2026-09-13 14:53:09,https://github.com/Sohamnaik/Sohamnaik,Config files for my GitHub profile.,我的 GitHub 个人资料的配置文件。
exopoiesis/arxiv-radar-electrochemistry,Python,1,2026-05-07 01:46:31,2026-09-13 14:08:17,https://github.com/exopoiesis/arxiv-radar-electrochemistry,"Daily-curated electrochemistry-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views. ",来自 arXiv 的每日精选电化学相关论文，包含摘要、规范标签和生成的页面视图。
enhansome/enhansome-ai-for-science,,0,2026-08-12 14:18:48,2026-09-13 12:35:43,https://github.com/enhansome/enhansome-ai-for-science,,
iszhanjiawei/dubbing-dubber-arxiv-daily,Python,0,2026-02-04 18:29:41,2026-09-13 11:46:13,https://github.com/iszhanjiawei/dubbing-dubber-arxiv-daily,,
exopoiesis/arxiv-radar-chemistry,Python,1,2026-05-03 22:55:49,2026-09-13 11:44:36,https://github.com/exopoiesis/arxiv-radar-chemistry,"Daily-curated chemistry-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views.",来自 arXiv 的每日精选化学相关论文，包含摘要、规范标签和生成的页面视图。
iszhanjiawei/TTS_arxiv_daily,Python,3,2025-07-29 11:13:56,2026-09-13 11:18:56,https://github.com/iszhanjiawei/TTS_arxiv_daily,,
u107207006/ID-Lottery-Global-Manifesto,HTML,0,2026-02-22 00:11:26,2026-09-13 10:52:57,https://github.com/u107207006/ID-Lottery-Global-Manifesto,2026 Global Governance Diagnosis & Social Detox Project by Hsu Tsuan-Jung.,2026 年全球治理诊断与社会排毒项目，作者：Hsu Tsuan-Jung。
AI-in-Transportation-Lab/awesome-mechanistic-interpretability,JavaScript,154,2025-06-12 01:06:59,2026-09-13 10:44:04,https://github.com/AI-in-Transportation-Lab/awesome-mechanistic-interpretability,"A carefully curated collection of high-quality libraries, projects, tutorials, research papers, and other essential resources focused on Mechanistic Interpretability, a growing subfield in machine learning interpretability research that aims to reverse-engineer neural networks into understandable computational components.",精心策划的高质量库、项目、教程、研究论文和其他重要资源的集合，重点关注机械可解释性，这是机器学习可解释性研究中不断发展的子领域，旨在将神经网络逆向工程为可理解的计算组件。
exopoiesis/arxiv-radar-polymer,Python,0,2026-05-04 03:29:07,2026-09-13 10:35:42,https://github.com/exopoiesis/arxiv-radar-polymer,"Daily-curated polymer-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views.",来自 arXiv 的每日精选聚合物相关论文，包含摘要、规范标签和生成的页面视图。
CultureBotAI/proteintraitsmech,Python,1,2026-07-01 21:06:36,2026-09-13 10:19:58,https://github.com/CultureBotAI/proteintraitsmech,ProteinTraits,蛋白质性状
iszhanjiawei/flow_matching_arxiv_daily,Python,106,2025-07-08 18:20:28,2026-09-13 10:15:44,https://github.com/iszhanjiawei/flow_matching_arxiv_daily,,
dvlan26/daily-arxiv-ai4sensor,Python,2,2026-02-01 09:49:39,2026-09-13 09:46:07,https://github.com/dvlan26/daily-arxiv-ai4sensor,🎓Automatically Update AI4Sensor Papers Daily using Github Actions,🎓使用 Github Actions 每天自动更新 AI4Sensor 论文
Cosmos-Logic-Institute-CLI/Infinite-Virtual,,2,2026-01-27 05:50:34,2026-09-13 09:23:00,https://github.com/Cosmos-Logic-Institute-CLI/Infinite-Virtual,Boundaries between virtual and reality are non-existent,虚拟与现实之间不存在界限
evrimfer/if2_extension,R,0,2026-01-07 04:37:06,2026-09-13 07:42:15,https://github.com/evrimfer/if2_extension,,
