fullName,language,stargazersCount,createdAt,pushedAt,url,description,description_zh
DerekDLP/arxivpaper-daily,Python,0,2025-09-24 12:29:20,2026-09-14 08:00:05,https://github.com/DerekDLP/arxivpaper-daily,,
awictor/symplectic-nbody,Python,0,2026-09-10 08:44:08,2026-09-14 07:52:50,https://github.com/awictor/symplectic-nbody,Dependency-free pure-Python N-body simulator that makes symplectic energy conservation observable and testable,无依赖的纯 Python N 体模拟器，使辛能量守恒可观察和可测试
vivarium-collective/v2ecoli,HTML,3,2026-04-05 07:11:52,2026-09-14 08:00:03,https://github.com/vivarium-collective/v2ecoli,Whole-cell E. coli model in Vivarium 2,Vivarium 2 中的全细胞大肠杆菌模型
venkatsubash2003/Jobs4Me_Live,Python,0,2026-06-20 10:50:00,2026-09-14 07:38:27,https://github.com/venkatsubash2003/Jobs4Me_Live,,
LeBonhommePharma/FlexAIDdS,C++,11,2025-08-25 14:12:44,2026-09-14 07:12:13,https://github.com/LeBonhommePharma/FlexAIDdS,"Modernized Flexible Artificial Intelligence Docking (FlexAID) fully flexible, in C++26 with python bindings. Updated NRGsuite, the PyMOL plugin GUI. Fast, Flexible and Free... and it ain't GROMACS 😹😻✨",现代化灵活人工智能对接 (FlexAID) 完全灵活，采用 C++26 语言，带有 python 绑定。更新了 NRGsuite，PyMOL 插件 GUI。快速、灵活且免费...而且它不是 GROMACS 😹😻✨
sokrypton/py2Dmol,Jupyter Notebook,102,2025-10-29 06:13:02,2026-09-14 05:43:04,https://github.com/sokrypton/py2Dmol,,
enhansome/enhansome-neural-trees,,0,2026-08-12 17:56:34,2026-09-14 05:41:30,https://github.com/enhansome/enhansome-neural-trees,,
albanana321/protein-function-prediction,Jupyter Notebook,0,2026-02-07 21:04:09,2026-09-14 05:32:00,https://github.com/albanana321/protein-function-prediction,"Multi-method ensemble for protein function prediction using BLAST-KNN, Network-KNN, and ESM-2 embeddings - Fudan GripS Program",使用 BLAST-KNN、Network-KNN 和 ESM-2 嵌入进行蛋白质功能预测的多方法集成 - 复旦 GripS 项目
ryancahildebrandt/awesome_slop,Go Template,0,2025-07-25 08:34:28,2026-09-14 04:44:54,https://github.com/ryancahildebrandt/awesome_slop,LLM reading list,法学硕士阅读清单
YouMind-OpenLab/awesome-nano-banana-pro-prompts,TypeScript,13419,2025-11-23 15:17:48,2026-09-14 04:03:32,https://github.com/YouMind-OpenLab/awesome-nano-banana-pro-prompts,"🍌 World's largest Nano Banana Pro prompt library — 10,000+ curated prompts with preview images, 16 languages. Google Gemini AI image generation. Free & open source.","🍌 世界上最大的 Nano Banana Pro 提示库 — 10,000 多个带有预览图像的精选提示，16 种语言。谷歌 Gemini AI 图像生成。免费且开源。"
Devanik21/Devanik21,Python,10,2024-03-16 15:07:09,2026-09-14 03:57:59,https://github.com/Devanik21/Devanik21,"Transforming data into intelligence, algorithms into consciousness  This README is a living document. Like biological organisms, it evolves, adapts, and grows with each iteration.",将数据转化为智能，将算法转化为意识 本自述文件是一份动态文档。就像生物有机体一样，它随着每次迭代而进化、适应和成长。
kaikatsumata/awesome-ai-survey-papers,Python,1,2026-06-05 20:44:14,2026-09-14 03:56:31,https://github.com/kaikatsumata/awesome-ai-survey-papers,Awesome curated list of AI survey papers across top venues — 955 verified surveys with citations & companion repos,顶级场所的人工智能调查论文精选列表 - 955 份经过验证的调查，附有引文和配套存储库
tamimystic/chokkhu,Python,1,2025-12-24 03:47:48,2026-09-14 03:52:25,https://github.com/tamimystic/chokkhu,,
enhansome/enhansome-Awesome-Out-Of-Distribution-Detection,,0,2026-08-12 15:01:45,2026-09-14 03:28:42,https://github.com/enhansome/enhansome-Awesome-Out-Of-Distribution-Detection,,
enhansome/enhansome-conformal-prediction,,0,2026-08-12 14:47:49,2026-09-14 03:27:06,https://github.com/enhansome/enhansome-conformal-prediction,,
enhansome/enhansome-deep-phenomena,,0,2026-08-12 16:08:00,2026-09-14 02:56:51,https://github.com/enhansome/enhansome-deep-phenomena,,
enhansome/enhansome-Awesome-Diffusion-Models,,0,2026-08-12 12:46:41,2026-09-14 02:19:44,https://github.com/enhansome/enhansome-Awesome-Diffusion-Models,,
Abdumalik-ProDev/ml-mastery,Jupyter Notebook,1,2026-09-12 17:23:21,2026-09-14 01:44:59,https://github.com/Abdumalik-ProDev/ml-mastery,"A comprehensive machine learning and deep learning learning laboratory covering **102 models** across **10 categories** with working implementations, hands-on notebooks, and accurate reference notes.",一个全面的机器学习和深度学习实验室，涵盖 **10 个类别** 的 **102 个模型**，并提供工作实现、动手笔记本和准确的参考笔记。
enhansome/enhansome-top-pharma50,,0,2026-08-12 18:06:36,2026-09-14 01:30:51,https://github.com/enhansome/enhansome-top-pharma50,,
enhansome/enhansome-Awesome-Diffusion-Models-in-Medical-Imaging,,0,2026-08-12 14:06:18,2026-09-14 01:24:30,https://github.com/enhansome/enhansome-Awesome-Diffusion-Models-in-Medical-Imaging,,
MaybeBio/Daily-ArXiv-AI4Bio,Python,0,2026-09-01 10:21:00,2026-09-14 01:23:19,https://github.com/MaybeBio/Daily-ArXiv-AI4Bio,,
nikesh86-2/pol_lineage,Python,0,2026-09-11 23:55:50,2026-09-14 00:47:01,https://github.com/nikesh86-2/pol_lineage,,
InsomaniacElf/sg-tamil-tts-resources-,,1,2026-05-26 11:12:53,2026-09-14 00:39:08,https://github.com/InsomaniacElf/sg-tamil-tts-resources-,"A curated, searchable list of datasets, models, research papers, and tools for building Text‑to‑Speech systems for Singapore Tamil and related low‑resource varieties.",用于为新加坡泰米尔语和相关低资源品种构建文本转语音系统的数据集、模型、研究论文和工具的精选、可搜索列表。
GuangtaoLyu/awesome-hallucination-atlas,Python,2,2026-07-29 11:50:39,2026-09-14 00:08:29,https://github.com/GuangtaoLyu/awesome-hallucination-atlas,"A curated atlas of hallucination research across LLM/VLM/MLLM — papers, benchmarks & surveys on embodied AI, agents, RAG, reasoning, and training-free methods.",跨 LLM/VLM/MLLM 的幻觉研究精选图集——关于具体人工智能、代理、RAG、推理和免训练方法的论文、基准和调查。
public-apis/public-apis,Python,479765,2016-03-21 07:49:42,2026-09-13 23:50:23,https://github.com/public-apis/public-apis,A collective list of free APIs,免费 API 集合列表
Tommaso-R-Marena/AutoEvolve-ProteinFold,Python,0,2026-03-01 16:01:46,2026-09-13 23:47:21,https://github.com/Tommaso-R-Marena/AutoEvolve-ProteinFold,"Self-improving protein folding model with automated training, evolutionary architecture search, and continuous weight optimization via GitHub Actions and Colab integration",通过 GitHub Actions 和 Colab 集成，通过自动化训练、进化架构搜索和持续权重优化来自我改进蛋白质折叠模型
